日付,時刻,始値,高値,安値,終値
2014-12-30,後場,2183.21,2185.03,2170.68,2170.75
2014-12-30,前場,2197.01,2198.28,2177.45,2184.85
2014-12-29,後場,2207.85,2213.43,2178.55,2202.69
2014-12-29,前場,2216.29,2219.43,2210.51,2211.52
2014-12-26,後場,2208.48,2210.27,2203.59,2206.53
2014-12-26,前場,2197.45,2209.58,2197.45,2208.02
2014-12-25,後場,2196.73,2200.45,2194.80,2198.84
2014-12-25,前場,2195.92,2203.76,2191.17,2198.92
2014-12-24,後場,2194.58,2200.07,2192.85,2200.07
2014-12-24,前場,2217.10,2218.51,2191.04,2192.86
2014-12-22,後場,2195.05,2197.37,2190.96,2197.02
2014-12-22,前場,2196.17,2201.50,2187.62,2199.18
2014-12-19,後場,2183.27,2188.49,2173.97,2182.18
2014-12-19,前場,2182.42,2187.03,2174.79,2185.98
2014-12-18,後場,2157.64,2158.96,2141.03,2145.65
2014-12-18,前場,2154.66,2169.80,2151.70,2157.55
2014-12-17,後場,2124.54,2128.60,2112.40,2115.49
