日付,時刻,始値,高値,安値,終値
2015-12-30,後場,1905.06,1907.59,1896.43,1897.81
2015-12-30,前場,1907.12,1924.38,1906.47,1907.33
2015-12-29,後場,1883.92,1893.80,1883.83,1890.89
2015-12-29,前場,1871.98,1882.66,1863.36,1881.46
2015-12-28,後場,1874.38,1880.95,1871.23,1874.95
2015-12-28,前場,1861.94,1880.50,1861.62,1873.23
2015-12-25,後場,1859.18,1860.33,1852.12,1853.91
2015-12-25,前場,1857.84,1863.96,1847.45,1859.94
2015-12-24,後場,1867.99,1871.08,1858.40,1860.78
2015-12-24,前場,1882.78,1889.87,1870.38,1872.63
2015-12-22,後場,1862.61,1868.98,1862.61,1864.36
2015-12-22,前場,1874.46,1879.18,1859.02,1861.88
2015-12-21,後場,1855.71,1879.38,1855.60,1873.76
2015-12-21,前場,1870.24,1874.62,1849.80,1853.75
2015-12-18,後場,1920.21,1960.68,1889.65,1890.59
2015-12-18,前場,1929.26,1932.10,1904.73,1918.08
2015-12-17,後場,1951.05,1951.35,1930.40,1932.81
2015-12-17,前場,1949.12,1961.72,1946.75,1951.67
2015-12-16,後場,1917.72,1922.23,1914.33,1917.93
